cluster_id,member_count,monitor_point_codes
163,6,__62120201010701;__62120201024001;__621202012075;621202011107;621202011372;621202011740
222,6,420323010514;420323010520;420323010539;420323011091;420323011107;420323011118
245,6,610303010010;610303010011;610303010014;610303010018;610303010019;610303010097
7,5,623023000016;623023010091;623023010134;623023030109;__623023010953
21,5,630121020026;__630121011031;__630121011032;__630121012310;__630121012311
27,5,630122000660;630122010212;__630122000077;__630122011471;__630122021520
37,5,632121000093;632121010086;__630203020011;__630203030001;__630203030002
46,5,632127000163;632127000165;__630224010016;__630224010017;__630224206011
48,5,632321010039;632321010315;632321020007;__632301030265;__632321020214
73,5,__620102010300;__620102010302;__620102010307;__620102010406;__620102010523
101,5,__620104010191;__62010401019201;__620104010193;__620104010194;__620104010343
103,5,__620104010204;__620104010364;__620104010365;620104020015;620104020016
108,5,__620104010251;__620104010252;620104000540;620104000581;620104010161
109,5,__620104010297;__620104010298;__620104010299;__620104010302;__620104010303
119,5,__620105010077;__620105010082;__620105010084;620105000091;620105000159
129,5,__620503010227;__620503010233;__620503010234;620503000073;620503010207
146,5,__620826020015;__620826020019;__620826020044;__620826020059;620826000041
150,5,__621023010193;621023000048;621023000052;621023000067;621023010030
213,5,420322010648;420322010651;420322010652;420322010669;420322010671
223,5,420323010546;420323010842;420323011120;420323011121;420323011295
238,5,610122010010;610122010083;610122010085;610122010101;610122010102
247,5,610303010015;610303010016;610303010017;610303010107;610303010109
265,5,610727010361;610727010448;610727010449;610727010451;610727010457
267,5,610802010001;610802020001;610802020005;610802020006;610802020030
280,5,610924010085;610924010395;610924010396;610924010568;610924010569
285,5,610924010273;610924010278;610924010279;610924010295;610924010316
297,5,610925010055;610925010059;610925010060;610925010061;610925010062
306,5,610928010255;610928010256;610928010257;610928010258;610928010271
310,5,611024010136;611024010137;611024010138;611024010139;611024010140
346,5,__6211260300561;621126010414;621126010415;621126010416;621126030243
367,5,__62292401006301;622924000222;622924000272;622924000273;622924000281
1,4,140830000124;140830020013;140830020014;140830020023
4,4,622926030071;622926030072;622926000699;622926000798
5,4,622927010159;622927010161;622927010167;622927010197
9,4,623023010107;623023010144;__623023010020;__623023030100
14,4,623023010485;__623023020024;__623023020042;621223020025
19,4,630121010098;__630121012307;__630121012308;__630121021057
22,4,630122000487;630122020033;__630122011048;__630122011059
26,4,630122000622;630122000623;630122020042;__630122011042
29,4,630122010039;630122010174;630122010314;630122010327
30,4,630122010183;630122010207;__630122011035;__630122011036
36,4,630123000183;630123000192;__630123011119;__630123011121
40,4,632123000548;632123000549;632123000550;__632123000099
72,4,__620102010222;__620102010348;620102000670;620102000885
83,4,__620103010168;__620132000096;620103000148;620103000163
104,4,__620104010215;__620104010216;620104010154;620104010155
